Target area,Source area,FLN,SLN
2,1,0.00953783575285784,0.926470588235294
2,3,0.245809664071814,0.759106038991916
2,12,0.0066566145358487,0.218612818261633
2,13,0.000181172125207471,0.064516129032258
2,31,0.000029221310517334,1
2,44,0.000561049161932814,0.270833333333333
2,24b,0.0000584426210346681,0
2,24c,0.000245459008345606,0
2,24d,0.0000818196694485354,0.214285714285714
2,46d,0.0000116885242069336,1
2,7A,0.00000584426210346681,1
2,7B,0.00206886878462725,0.112994350282485
2,7op,0.00210977861935152,0.301939058171745
2,9/46v,0.010829417677724,0.562331354560172
2,AIP,0.00189354092152324,0.114197530864197
2,ENTORHINAL,0.00152535240900483,0.0498084291187739
2,F1,0.000444163919863478,0.578947368421052
2,F3,0.000590270472450148,0.326732673267326
2,F4,0.114243635598569,0.429506854921219
2,F5,0.150104027865441,0.465581685095779
2,Gu,0.0079598849849218,0.0675477239353891
2,INSULA,0.0302674334338546,0.13631975284804
2,LB,0.0000175327863104004,0
2,LIP,0.00161301634055684,0.271739130434782
2,MB,0.000093508193655469,0.5
2,OPAI,0.000216237697828272,0.594594594594594
2,OPRO,0.00773195876288659,0.0839002267573696
2,PERIRHINAL,0.000829885218692287,0
2,ProM,0.0441884657643125,0.314905435788916
2,SII,0.359387053790588,0.46612677659609
2,TEa/ma,0.0000759754073450686,0
2,TEav,0.000151950814690137,0.0384615384615384
2,TEMPORAL_POLE,0.000473385230380812,0
2,VIP,0.00000584426210346681,0
5,1,0.00251090675120052,0.574999999999999
5,2,0.0363453752236276,0.810880829015544
5,3,0.0320768337465867,0.587084148727984
5,12,0.000125545337560026,0
5,23,0.0885722356485986,0.38483345145287
5,31,0.00200872540096042,0.0625
5,24a,0.0000627726687800131,1
5,24b,0.0125545337560026,0.245
5,24d,0.00602617620288126,0.09375
5,29/30,0.00295031543266061,1
5,46d,0.000188318006340039,1
5,7A,0.150560246068861,0.304982280592036
5,7B,0.0113932393835723,0.143250688705234
5,7m,0.00182040739462038,0.275862068965517
5,7op,0.101534791751671,0.423493044822256
5,AIP,0.00100436270048021,0.4375
5,ENTORHINAL,0.000376636012680079,0
5,F1,0.33686952700794,0.540389453088605
5,F2,0.117573208624964,0.298451681793913
5,F3,0.0445999811681993,0.181562280084447
5,F5,0.00684222089702143,0.036697247706422
5,F6,0.00351526945168073,0.0714285714285714
5,F7,0.000313863343900065,0
5,INSULA,0.00922758231066193,0.326530612244897
5,LIP,0.00295031543266061,0.51063829787234
5,MB,0.000376636012680079,0.166666666666666
5,MIP,0.00163208938828034,0.615384615384615
5,MST,0.000313863343900065,0.599999999999999
5,PERIRHINAL,0.000125545337560026,0
5,STPi,0.00200872540096042,0.625
5,TEa/ma,0.000251090675120052,0
5,TEMPORAL_POLE,0.000251090675120052,0
5,TPt,0.0062144942092213,0.267676767676767
5,VIP,0.0168230752330435,0.388059701492537
10,9,0.111534855769902,0.471183421208796
10,11,0.0283145145116593,0.398714378037313
10,12,0.0639003283807513,0.489613152238913
10,13,0.0264511968138029,0.501618362837501
10,14,0.209709702214374,0.469684456603726
10,23,0.00771454742983615,0.451920245966804
10,25,0.0169954107844113,0.362431020825203
10,31,0.000799414596140966,0.650894982385984
10,32,0.042016910602875,0.491756498598318
10,44,0.000022537797271495,0
10,24a,0.000663450775961121,0.148241798406272
10,24b,0.00178856516023684,0.210488030484261
10,24c,0.0064323395770498,0.340993689223125
10,24d,0.000134967127506029,0.0572916666666666
10,29/30,0.00125772041640664,0.309012338667477
10,45A,0.00427292652910647,0.330334345658239
10,45B,0.000836374918954471,0.419042380001591
10,46d,0.186851125255387,0.50590747627492
10,46v,0.0961274639829661,0.466492826660155
10,7A,0.000167839145373288,0.739583333333333
10,7op,0.0000102102807316687,0.75
10,8B,0.0186489392272808,0.318170783348527
10,8l,0.000438483898576405,0.267180735930735
10,8m,0.00571688309341155,0.369415001905563
10,8r,0.000307694543836259,0.112418831168831
10,9/46d,0.0112344498715997,0.282879737106982
10,9/46v,0.0000233364869092824,0.166666666666666
10,CORE,0.000355861894756622,0.41034355503565
10,DP,0.000112387507718154,0.930232558139534
10,ENTORHINAL,0.000221605933391424,0.0685185185185185
10,F1,0.00000155865207768321,1
10,F2,0.0000650997697384368,0.111111111111111
10,F3,0.00000171882734723062,0
10,F4,0.00000710633469928961,0.333333333333333
10,F5,0.0000112309150828773,0.299999999999999
10,F6,0.000045913244518638,0.110576923076923
10,F7,0.00202110084243197,0.221069394768511
10,FST,0.000112996392427526,0.589285714285714
10,INSULA,0.000303906795609487,0.0548352888858481
10,IPa,0.000178571008735889,0.476646505376344
10,LB,0.00106240965626479,0.401677856346795
10,LIP,0.00000525964767040622,0.333333333333333
10,MB,0.000902264483365841,0.274998439267728
10,MIP,0.00000255257018291717,1
10,MST,0.00000515648204169187,0.333333333333333
10,OPAI,0.000521669001488199,0.144312011088326
10,OPRO,0.0277914280747639,0.269966263797086
10,Parainsula,0.000444462961526961,0.0544414338240004
10,PBc,0.00279001504645206,0.622457851294735
10,PBr,0.0262999377511192,0.597892043409545
10,PERIRHINAL,0.000360436857031097,0.134338871419408
10,PGa,0.00197090294800382,0.538553966052359
10,PIP,0.0000204205614633374,0.375
10,Pro.St.,0.00181071328556893,0.494741601303882
10,STPc,0.0046569331454718,0.694722245007744
10,STPi,0.0205269605253467,0.575341958530508
10,STPr,0.03478846552724,0.556717445459233
10,TEa/ma,0.000208358610078249,0.348511904761904
10,TEa/mp,0.0000115892491748423,0.666666666666666
10,TEad,0.00000967226300519412,0.75
